country_id,island_id,prefecture_id,commune_id,town_village_id,town_village_name,latitude,longitude
KM,KM2,KM25,KM252,KM252_0003,IFOUNDIHE CHAMBOINI,-11.902989,43.4207031
KM,KM2,KM25,KM252,KM252_0004,DIMA,-11.88940362427,43.41929739477314
KM,KM2,KM25,KM252,KM252_0005,NKOURANI YA SIMA,-11.85119757695296,43.42598861986222
KM,KM2,KM25,KM252,KM252_0006,DOMONI,,
KM,KM2,KM25,KM252,KM252_0007,DOMONI,,
KM,KM2,KM25,KM252,KM252_0008,DZOIDJOU,-11.8808683,43.4321459
KM,KM2,KM25,KM252,KM252_0009,FAMARE,-11.86293770637044,43.43206892132195
KM,KM2,KM24,KM242,KM242_0001,FOUMBOUNI,,
KM,KM2,KM24,KM242,KM242_0002,KOIMBANI LA MBADJINI,-11.8601053,43.4853514
KM,KM2,KM24,KM242,KM242_0003,MALE,-11.8865711,43.5062231
KM,KM2,KM24,KM242,KM242_0004,MIDJENDJENI,-11.91274450244943,43.48569929047818
KM,KM2,KM24,KM242,KM242_0005,OUROVENI,-11.91492181212855,43.49706332513574
KM,KM2,KM24,KM242,KM242_0006,NDZOUANI,-11.89838779171314,43.47773216012062
KM,KM2,KM24,KM242,KM242_0007,CHINDINI,-11.9247875,43.490771
KM,KM2,KM24,KM242,KM242_0008,SIMAMBOINI,-11.9190778,43.4701705
KM,KM2,KM24,KM242,KM242_0009,DZAHADJOU LA MBADJINI,-11.911239,43.4540567
KM,KM2,KM24,KM242,KM242_0010,MOHORO,-11.8278645,43.4548201
KM,KM2,KM24,KM242,KM242_0011,NGNOUMADZHA MVOUBARI,-11.8414672716532,43.46256496273752
KM,KM2,KM24,KM241,KM241_0001,BANDAMADJI LADOMBA,,
KM,KM2,KM24,KM241,KM241_0002,BANDADAOUENI,-11.77602036332376,43.44796020622245
KM,KM2,KM24,KM241,KM241_0003,TSINIMOIPANGA,-11.7959112,43.4349054
KM,KM2,KM24,KM241,KM241_0004,OUNGONI,-11.7580867,43.447056
KM,KM2,KM24,KM241,KM241_0005,PIDJANI,-11.7632851,43.4515954
KM,KM2,KM24,KM241,KM241_0006,PIDJANI,-11.40882116931708,43.31436164531659
KM,KM2,KM24,KM243,KM243_0001,SIMBOUSSA YA MBADJINI,,
KM,KM2,KM24,KM243,KM243_0002,INANI,-11.89097182883893,43.47575129534538
KM,KM2,KM24,KM243,KM243_0003,NGNAMBENI,,
KM,KM2,KM24,KM243,KM243_0004,BANDAMADJI LA KOUBOINI,-11.89605097374183,43.47079516787012
KM,KM2,KM24,KM243,KM243_0005,DARISSALAMA,-11.87151072120418,43.47290923313334
KM,KM2,KM24,KM243,KM243_0006,MLALOI NKOUDJOU,-11.86990225883718,43.46754665576712
KM,KM2,KM24,KM243,KM243_0007,NGNOUMA MILIMA,-11.85504067822945,43.44673864976962
KM,KM2,KM24,KM243,KM243_0008,NKOURANI MKANGA,-11.89023668146737,43.45386892429856
KM,KM2,KM24,KM243,KM243_0009,DIDJONI,-11.88428639896506,43.49101856641398
KM,KM2,KM24,KM243,KM243_0010,KOVE,-11.88078433190155,43.47862369287871
KM,KM2,KM28,KM282,KM282_0001,KOIMBANI YA WACHILI,,
KM,KM2,KM28,KM282,KM282_0002,IROHE,,
KM,KM2,KM28,KM282,KM282_0003,BOENI YAWACHILI,-11.63611416204234,43.36225466462894
KM,KM2,KM28,KM282,KM282_0004,DZAHADJOU YA WACHILI,-11.64921932362798,43.36936987046456
