country_id,country_name,island_id,island_name,prefecture_id,prefecture_name,commune_id,commune_name,town_village_id,town_village_name,year,population,country_name_local,island_name_local,prefecture_name_local,commune_name_local,town_village_name_local
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0014,SALAMANI,2017,407,Comores,NDZUWANI,SIMA,VOUANI,SALAMANI
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0004,SHITSANGASHELI,2017,155,Comores,NDZUWANI,SIMA,VOUANI,SHITSANGASHELI
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0005,VASSI,2017,1263,Comores,NDZUWANI,SIMA,VOUANI,VASSI
KM,Comores,KM1,Anjouan,KM15,Sima,KM153,Vouani,KM153_0008,VOUANI,2017,3397,Comores,NDZUWANI,SIMA,VOUANI,VOUANI
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM211,Mboinkou,KM211_0008,BANDAMADJI LA MBOIKOU,2017,691,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,MBOINKOU,BANDAMADJI LA MBOIKOU
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM211,Mboinkou,KM211_0004,CHEZANI,2017,2657,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,MBOINKOU,CHEZANI
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM211,Mboinkou,KM211_0007,HANTSINDZI,2017,2053,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,MBOINKOU,HANTSINDZI
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM211,Mboinkou,KM211_0001,MADJEOUENI,2017,1719,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,MBOINKOU,MADJEOUENI
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM211,Mboinkou,KM211_0005,NDROUDE,2017,2013,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,MBOINKOU,NDROUDE
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM211,Mboinkou,KM211_0006,NIOUMAMILIMA,2017,1304,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,MBOINKOU,NIOUMAMILIMA
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM211,Mboinkou,KM211_0002,SADANI YA MBOIKOU,2017,603,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,MBOINKOU,SADANI YA MBOIKOU
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM211,Mboinkou,KM211_0003,TRELEZINI,2017,534,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,MBOINKOU,TRELEZINI
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM212,Nyuma Mro,KM212_0005,BAMBADJANI,2017,1200,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MRO,BAMBADJANI
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM212,Nyuma Mro,KM212_0001,DIMADJOU YA HAMAHAMET,2017,2337,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MRO,DIMADJOU YA HAMAHAMET
KM,Comores,KM2,Grande Comore,KM21,Hamahamet-Mboinkou,KM212,Nyuma Mro,KM212_0009,HADJAMBOU,2017,1237,Comores,NGAZIDJA,HAMAHAMET MBOINKOU,NYUMA MRO,HADJAMBOU
